Rank,Name,Country,Born,Order,Consistory,Office,Ref.
204,Vicente Bokalic Iglic CM,Argentina,"11 June 1952
(age 72)",CP,"7 December 2024
Francis",Archbishop of Santiago del Estero,
205,Luis Cabrera Herrera OFM,Ecuador,"11 October 1955
(age 69)",CP,"7 December 2024
Francis",Archbishop of Guayaquil,
206,Fernando Chomalí Garib,Chile,"10 March 1957
(age 68)",CP,"7 December 2024
Francis",Archbishop of Santiago de Chile,
207,Tarcisio Isao Kikuchi SVD,Japan,"1 November 1958
(age 66)",CP,"7 December 2024
Francis",Archbishop of Tokyo,
208,Pablo Virgilio David,Philippines,"2 March 1959
(age 66)",CP,"7 December 2024
Francis",Bishop of Kalookan,
209,Ladislav Nemet SVD,Serbia,"7 September 1956
(age 68)",CP,"7 December 2024
Francis",Archbishop of Belgrade,
210,Jaime Spengler OFM,Brazil,"6 September 1960
(age 64)",CP,"7 December 2024
Francis",Archbishop of Porto Alegre,
211,Ignace Bessi Dogbo,Ivory Coast,"17 August 1961
(age 63)",CP,"7 December 2024
Francis",Archbishop of Abidjan,
212,Jean-Paul Vesco OP,Algeria,"10 March 1962
(age 63)",CP,"7 December 2024
Francis",Archbishop of Algiers,
213,Dominique Mathieu OFMConv,Iran,"13 June 1963
(age 61)",CP,"7 December 2024
Francis",Archbishop of Tehran–Isfahan,
214,Roberto Repole,Italy,"29 January 1967
(age 58)",CP,"7 December 2024
Francis",Archbishop of Turin and Bishop of Susa,
215,Baldassare Reina,Italy,"26 November 1970
(age 54)",CP,"7 December 2024
Francis",Vicar General for Rome and Archpriest of the Papal Basilica of Saint John Lateran,
216,Frank Leo,Canada,"30 June 1971
(age 53)",CP,"7 December 2024
Francis",Archbishop of Toronto,
217,Mykola Bychok CSsR,Australia,"13 February 1980
(age 45)",CP,"7 December 2024
Francis","Eparch of Saints Peter and Paul of Melbourne
(Ukrainian Greek Church)",
218,Domenico Battaglia,Italy,"20 January 1963
(age 62)",CP,"7 December 2024
Francis",Archbishop of Naples,
219,Dominique Mamberti,France,"7 March 1952
(age 73)",CD,"14 February 2015
Francis",Prefect of the Supreme Tribunal of the Apostolic Signatura,
220,Mario Zenari,Italy,"5 January 1946
(age 79)",CD,"19 November 2016
Francis",Apostolic Nuncio to Syria,
221,Kevin Farrell,United States,"2 September 1947
(age 77)",CD,"19 November 2016
Francis","Prefect of the Dicastery for the Laity, Family and Life and Camerlengo of the Holy Roman Church",
222,Ernest Simoni*,Albania,"18 October 1928
(age 96)",CD,"19 November 2016
Francis",Priest of the Archdiocese of Shkodër–Pult,
223,Luis Ladaria Ferrer SJ*,Spain,"19 April 1944
(age 81)",CD,"28 June 2018
Francis",Prefect emeritus of the Dicastery for the Doctrine of the Faith,
224,Giovanni Angelo Becciu*,Italy,"2 June 1948
(age 76)",CD,"28 June 2018
Francis",Prefect emeritus of the Congregation for the Causes of Saints,
225,Konrad Krajewski,Poland,"25 November 1963
(age 61)",CD,"28 June 2018
Francis",Almoner of His Holiness,
226,Aquilino Bocos Merino CMF*,Spain,"17 May 1938
(age 86)",CD,"28 June 2018
Francis",Superior General emeritus of the Missionary Sons of the Immaculate Heart of Mary,
227,José Tolentino de Mendonça,Portugal,"15 December 1965
(age 59)",CD,"5 October 2019
Francis",Prefect of the Dicastery for Culture and Education,
228,Michael Czerny SJ,Canada,"18 July 1946
(age 78)",CD,"5 October 2019
Francis",Prefect of the Dicastery for Promoting Integral Human Development,
229,Michael Fitzgerald MAfr*,United Kingdom,"17 August 1937
(age 87)",CD,"5 October 2019
Francis",Apostolic Nuncio emeritus to Egypt,
230,Mario Grech,Malta,"20 February 1957
(age 68)",CD,"28 November 2020
Francis",Secretary-General of the Synod of Bishops,
231,Marcello Semeraro,Italy,"22 December 1947
(age 77)",CD,"28 November 2020
Francis",Prefect of the Dicastery for the Causes of Saints,
232,Mauro Gambetti OFMConv,Italy,"27 October 1965
(age 59)",CD,"28 November 2020
Francis","Vicar General for Vatican City, Archpriest of the Papal Basilica of Saint Peter and President of the Fabric of Saint Peter",
233,Silvano Maria Tomasi CS*,Italy,"12 October 1940
(age 84)",CD,"28 November 2020
Francis",Special Delegate to the Sovereign Military Order of Malta,
234,Raniero Cantalamessa OFMCap*,Italy,"22 July 1934
(age 90)",CD,"28 November 2020
Francis",Preacher emeritus of the Papal Household,
235,Enrico Feroci*,Italy,"27 August 1940
(age 84)",CD,"28 November 2020
Francis","Pastor of the Shrine of Our Lady of Divine Love in Castel di Leva, Rome",
236,Arthur Roche,United Kingdom,"6 March 1950
(age 75)",CD,"27 August 2022
Francis",Prefect of the Dicastery for Divine Worship and the Discipline of the Sacraments,
237,Lazarus You Heung-sik,South Korea,"17 November 1951
(age 73)",CD,"27 August 2022
Francis",Prefect of the Dicastery for the Clergy,
238,Fernando Vérgez Alzaga LC*,Spain,"1 March 1945
(age 80)",CD,"27 August 2022
Francis",President emeritus of the Pontifical Commission for Vatican City State,
239,Gianfranco Ghirlanda SJ*,Italy,"5 July 1942
(age 82)",CD,"27 August 2022
Francis",Patron of the Sovereign Military Order of Malta,
240,Fortunato Frezza*,Italy,"6 February 1942
(age 83)",CD,"27 August 2022
Francis",Canon of the Chapter of the Papal Basilica of Saint Peter,
241,Claudio Gugerotti,Italy,"7 October 1955
(age 69)",CD,"30 September 2023
Francis",Prefect of the Dicastery for the Eastern Churches,
242,Víctor Manuel Fernández,Argentina,"18 July 1962
(age 62)",CD,"30 September 2023
Francis",Prefect of the Dicastery for the Doctrine of the Faith,
243,Emil Paul Tscherrig,Switzerland,"3 February 1947
(age 78)",CD,"30 September 2023
Francis",Apostolic Nuncio emeritus to Italy and San Marino,
244,Christophe Pierre,France,"30 January 1946
(age 79)",CD,"30 September 2023
Francis",Apostolic Nuncio to the United States,
245,Ángel Fernández Artime SDB,Spain,"21 August 1960
(age 64)",CD,"30 September 2023
Francis",Pro-Prefect of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,
246,Agostino Marchetto*,Italy,"28 August 1940
(age 84)",CD,"30 September 2023
Francis",Secretary emeritus of the Pontifical Council for the Pastoral Care of Migrants and Itinerant People,
247,Luis Pascual Dri OFMCap*,Argentina,"17 April 1927
(age 98)",CD,"30 September 2023
Francis","Confessor at the Shrine of Our Lady of Pompei [es], Buenos Aires",
248,Angelo Acerbi*,Italy,"23 September 1925
(age 99)",CD,"7 December 2024
Francis",Apostolic Nuncio emeritus,
249,Rolandas Makrickas,Lithuania,"31 January 1972
(age 53)",CD,"7 December 2024
Francis",Coadjutor Archpriest of the Papal Basilica of Saint Mary Major,
250,Timothy Radcliffe OP,United Kingdom,"22 August 1945
(age 79)",CD,"7 December 2024
Francis",Master emeritus of the Order of Preachers,
251,Fabio Baggio CS,Italy,"15 January 1965
(age 60)",CD,"7 December 2024
Francis",Undersecretary of the Migrants and Refugees Section of the Dicastery for Promoting Integral Human Development,
252,George Koovakad,India,"11 August 1973
(age 51)",CD,"7 December 2024
Francis","Prefect of the Dicastery for Interreligious Dialogue
(Syro-Malabar Church)",
