conclave_date,pope_name,rank,name,name_words,country_serving,born,age_at_conclave,years_served_as_cardinal,cardinal_type,date_created,creator_pope,position,votes_received_in_prev_conclave,newsweek_choice,betting_market,first_language,elected
2-Apr-2005,NA,84,Carlos Amigo Vallejo ,3,Spain,23-Aug-1934,70.6092,1.4483,CP,21 October 2003,John Paul II,Archbishop of Seville,0,0,0,Spanish,no
2-Apr-2005,NA,85,Justin Francis Rigali,3,United States,19-Apr-1935,69.9548,1.4483,CP,21 October 2003,John Paul II,Archbishop of Philadelphia,0,0,0,English,no
2-Apr-2005,NA,86,Keith Michael Patrick O'Brien,4,United Kingdom,17-Mar-1938,67.0445,1.4483,CP,21 October 2003,John Paul II,Archbishop of Saint Andrews and Edinburgh,0,0,0,English,no
2-Apr-2005,NA,87,Eusébio Oscar Scheid ,3,Brazil,8-Dec-1932,72.3149,1.4483,CP,21 October 2003,John Paul II,Archbishop of São Sebastião do Rio de Janeiro,0,0,0,Portuguese,no
2-Apr-2005,NA,88,Ennio Antonelli,2,Italy,18-Nov-1936,68.3696,1.4483,CP,21 October 2003,John Paul II,Archbishop of Florence,0,0,0,Italian,no
2-Apr-2005,NA,89,Tarcisio Bertone ,2,Italy,2-Dec-1934,70.3326,1.4483,CP,21 October 2003,John Paul II,Archbishop of Genoa,0,0,0,Italian,no
2-Apr-2005,NA,90,Peter Kodwo Appiah Turkson,4,Ghana,11-Oct-1948,56.4736,1.4483,CP,21 October 2003,John Paul II,Archbishop of Cape Coast,0,0,0,Fante,no
2-Apr-2005,NA,91,Telesphore Placidus Toppo,3,India,15-Oct-1939,65.4648,1.4483,CP,21 October 2003,John Paul II,Archbishop of Ranchi,0,0,0,Hindi,no
2-Apr-2005,NA,92,George Pell,2,Australia,8-Jun-1941,63.8166,1.4483,CP,21 October 2003,John Paul II,Archbishop of Sydney,0,0,0,English,no
2-Apr-2005,NA,93,Josip Bozanić,2,Croatia,20-Mar-1949,56.0356,1.4483,CP,21 October 2003,John Paul II,Archbishop of Zagreb,0,0,0,Croatian,no
2-Apr-2005,NA,94,Jean-Baptiste Phạm Minh Mẫn,4,Vietnam,5-Mar-1934,71.0773,1.4483,CP,21 October 2003,John Paul II,Archbishop of Ho Chi Minh City,0,0,0,Vietnamese,no
2-Apr-2005,NA,95,Rodolfo Quezada Toruño,3,Guatemala,8-Mar-1932,73.0678,1.4483,CP,21 October 2003,John Paul II,Archbishop of Guatemala,0,0,0,Spanish,no
2-Apr-2005,NA,96,Philippe Barbarin,2,France,17-Oct-1950,54.4586,1.4483,CP,21 October 2003,John Paul II,Archbishop of Lyon,0,0,0,French,no
2-Apr-2005,NA,97,Péter Erdő,2,Hungary,25-Jun-1952,52.7693,1.4483,CP,21 October 2003,John Paul II,Archbishop of Esztergom–Budapest,0,0,0,Hungarian,no
2-Apr-2005,NA,98,Marc Ouellet ,2,Canada,8-Jun-1944,60.8159,1.4483,CP,21 October 2003,John Paul II,Archbishop of Quebec,0,0,0,French,no
2-Apr-2005,NA,99,Jorge Arturo Medina Estévez,4,Chile,23-Dec-1926,78.2752,7.1102,CD,21 February 1998,John Paul II,Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments (Protodeacon),0,0,0,Spanish,no
2-Apr-2005,NA,100,Darío Castrillón Hoyos,3,Colombia,4-Jul-1929,75.7454,7.1102,CD,21 February 1998,John Paul II,Prefect of the Congregation for the Clergy and President of the Pontifical Commission Ecclesia Dei,0,0,0,Spanish,no
2-Apr-2005,NA,101,James Francis Stafford,3,United States,26-Jul-1932,72.6845,7.1102,CD,21 February 1998,John Paul II,Major Penitentiary,0,0,0,English,no
2-Apr-2005,NA,102,Agostino Cacciavillan,2,Italy,14-Aug-1926,78.6338,4.1095,CD,21 February 2001,John Paul II,President emeritus of the Administration of the Patrimony of the Apostolic See,0,0,0,Italian,no
2-Apr-2005,NA,103,Sergio Sebastiani,2,Italy,11-Apr-1931,73.9767,4.1095,CD,21 February 2001,John Paul II,President of the Prefecture for the Economic Affairs of the Holy See,0,0,0,Italian,no
2-Apr-2005,NA,104,Zenon Grocholewski,2,Poland,11-Oct-1939,65.4757,4.1095,CD,21 February 2001,John Paul II,Prefect of the Congregation for Catholic Education,0,0,0,Polish,no
2-Apr-2005,NA,105,José Saraiva Martins ,3,Portugal,6-Jan-1932,73.2375,4.1095,CD,21 February 2001,John Paul II,Prefect of the Congregation for the Causes of Saints,0,0,0,Portuguese,no
2-Apr-2005,NA,106,Crescenzio Sepe,2,Italy,2-Jun-1943,61.8344,4.1095,CD,21 February 2001,John Paul II,Prefect of the Congregation for the Evangelization of Peoples,0,0,0,Italian,no
2-Apr-2005,NA,107,Mario Francesco Pompedda,3,Italy,18-Apr-1929,75.9562,4.1095,CD,21 February 2001,John Paul II,Prefect emeritus of the Supreme Tribunal of the Apostolic Signatura,0,0,0,Italian,no
2-Apr-2005,NA,108,Walter Kasper,2,Germany,5-Mar-1933,72.0767,4.1095,CD,21 February 2001,John Paul II,President of the Pontifical Council for Promoting Christian Unity,0,0,0,German,no
2-Apr-2005,NA,109,Jean-Louis Tauran,2,France,5-Apr-1943,61.9932,1.4483,CD,21 October 2003,John Paul II,Archivist and Librarian of the Holy Roman Church,0,0,0,French,no
2-Apr-2005,NA,110,Renato Raffaele Martino,3,Italy,23-Nov-1932,72.3559,1.4483,CD,21 October 2003,John Paul II,President of the Pontifical Council for Justice and Peace,0,0,0,Italian,no
2-Apr-2005,NA,111,Francesco Marchisano,2,Italy,25-Jun-1929,75.7700,1.4483,CD,21 October 2003,John Paul II,Archpriest of the Papal Basilica of Saint Peter and President of the Labour Office of the Apostolic See,0,0,0,Italian,no
2-Apr-2005,NA,112,Julián Herranz Casado,3,Spain,31-Mar-1930,75.0062,1.4483,CD,21 October 2003,John Paul II,President of the Pontifical Council for Legislative Texts,0,0,0,Spanish,no
2-Apr-2005,NA,113,Javier Lozano Barragán,3,Mexico,26-Jan-1933,72.1807,1.4483,CD,21 October 2003,John Paul II,President of the Pontifical Council for the Pastoral Care of Health Care Workers,0,0,0,Spanish,no
2-Apr-2005,NA,114,Stephen Fumio Hamao,3,Japan,9-Mar-1930,75.0664,1.4483,CD,21 October 2003,John Paul II,President of the Pontifical Council for the Pastoral Care of Migrants and Itinerant People,0,0,0,Japanese,no
2-Apr-2005,NA,115,Attilio Nicora,2,Italy,16-Mar-1937,68.0465,1.4483,CD,21 October 2003,John Paul II,President of the Administration of the Patrimony of the Apostolic See,0,0,0,Italian,no
1-Oct-1978,NA,1,Jean-Marie Villot,2,France,11-Oct-1905,72.9719,13.6044,CB,22 February 1965,Paul VI,"Secretary of State, Camerlengo of the Holy Roman Church and President of the Pontifical Council Cor Unum[e]",0,0,0,French,no
1-Oct-1978,NA,2,Antonio Samorè,2,Italy,4-Dec-1905,72.8241,13.6044,CB,22 February 1965,Paul VI,Archivist and Librarian of the Holy Roman Church,0,0,0,Italian,no
1-Oct-1978,NA,3,Francesco Carpino,2,Italy,18-May-1905,73.3717,11.2663,CB,26 June 1967,Paul VI,Archbishop emeritus of Palermo,0,0,0,Italian,no
1-Oct-1978,NA,4,Sebastiano Baggio,2,Italy,16-May-1913,65.3771,11.2663,CB,26 June 1967,Paul VI,Prefect of the Sacred Congregation for Bishops,0,0,0,Italian,no
1-Oct-1978,NA,5,Stéphanos I Sidarouss,3,Egypt,22-Feb-1904,74.6064,9.4264,CB,28 April 1969,Paul VI,"Patriarch of Alexandria
(Coptic Catholic Church)",0,0,0,Arabic,no
1-Oct-1978,NA,6,Giuseppe Siri,2,Italy,20-May-1906,72.3669,13.6044,CP,22 February 1965,Paul VI,Archbishop of Genoa,0,0,0,Italian,no
